기준년월,HSK품목코드,수출입구분코드,수산물수출입품목명,수출입구분명,당월수출입중량(킬로그램),당월수출입미화금액(달러),당해누계수출입중량(킬로그램),당해누계수출입미화금액(달러)
23-Jul,106199000,E,기타 포유동물,수출,182,23188,1686,117524
23-Jul,106201000,E,뱀,수출,4,3446,60,13987
23-Jul,106203000,E,거북,수출,2,170,31,50650
23-Jul,106209000,E,기타 파충류,수출,130,67924,935,1024019
23-Jul,301119000,E,기타(활어)(비단잉어 외  민물의 것),수출,0,0,155,2761
23-Jul,301190000,E,기타(활어)(민물의 것),수출,0,0,1980,98891
23-Jul,301921000,E,실뱀장어(한마리당 0.3그램 이하인 것으로서 양식용으로 한정),수출,0,0,300,8610
23-Jul,301929090,E,뱀장어(앵궐라종),수출,0,0,30,816
23-Jul,301992000,E,방어(활어),수출,0,0,127,4433
23-Jul,301994091,E,돔(기타/ 참돔),수출,360,3971,2365,27182
23-Jul,301994099,E,돔(기타/ 기타),수출,12,234,48,936
23-Jul,301995000,E,붕장어(활어),수출,128379,1433034,872868,9379541
23-Jul,301996000,E,갯장어(sharp toothed eel/활어),수출,3729,117670,8472,250456
23-Jul,301998000,E,넙치(활어),수출,177306,3206845,1264381,23326761
23-Jul,301999020,E,복어(활어),수출,0,0,2508,40033
23-Jul,301999040,E,볼락(적어포함/활어),수출,1345,33223,9987,263329
23-Jul,301999060,E,숭어(활어),수출,20,173,262,3354
23-Jul,301999070,E,미꾸라지(활어),수출,403,8654,3882,85928
23-Jul,301999099,E,기타어류(활어),수출,2264,82540,55085,1261034
23-Jul,302130000,E,태평양연어(옹코링쿠스-넬카/고르부스카/케타/차비차/키수츠/마소/로드루스),수출,60,2382,60,2382
23-Jul,302140000,E,대서양 연어(신선 또는 냉장)(살모 살라) 및 다뉴브 연어(후코 후코),수출,745,19458,6347,177937
23-Jul,302210000,E,넙치(간장/ 어란제외/신선/ 냉장/피레트/ 어육제외),수출,9398,206424,70262,1520581
23-Jul,302220000,E,가자미(간장/ 어란제외/신선/ 냉장/피레트/어육제외),수출,0,0,618,9547
